time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
73115.28s,32,444592,-2986,rot_14,7,15.999999,16,0,0.0000000004656613
73404.18s,32,444592,-2986,rot_12,2,15.9050045,15.253311,0.0078125,0.001953125
73582.00s,32,444592,-2986,rot_11,5,15.999999,16,0,0.0000000004656613
74160.66s,32,444592,-2986,rot_14,8,15.999999,16,0,0.0000000004656613
74446.19s,32,444592,-2986,rot_15,1,6.407681,4.4212637,9.209401,0.46799088
74470.88s,32,444592,-2986,rot_12,3,16,16,0,0
74643.76s,32,444592,-2986,rot_11,6,15.999999,16,0,0.0000000004656613
75515.83s,32,444592,-2986,rot_12,4,15.999999,16,0,0.00000000011641532
75591.38s,32,444592,-2986,rot_15,2,16,15.999999,0.00000047683716,0.00000011920929
75674.79s,32,444592,-2986,rot_11,7,15.999999,16,0,0.0000000004656613
76568.49s,32,444592,-2986,rot_12,5,15.999999,16,0,0.0000000004656613
76718.49s,32,444592,-2986,rot_11,8,15.999999,16,0,0.0000000004656613
76736.21s,32,444592,-2986,rot_15,3,16,16,0,0
77011.48s,32,444592,-2986,rot_16,1,6.407681,4.4212637,9.209401,0.46799088
77631.95s,32,444592,-2986,rot_12,6,15.999999,16,0,0.0000000004656613
77887.53s,32,444592,-2986,rot_15,4,15.999999,16,0,0.00000000011641532
78249.48s,32,444592,-2986,rot_16,2,16,16,0.000000059604645,0.000000059604645
78683.57s,32,444592,-2986,rot_12,7,15.999999,16,0,0.0000000004656613
79043.79s,32,444592,-2986,rot_15,5,15.999999,16,0,0.0000000004656613
79478.93s,32,444592,-2986,rot_16,3,16.000002,16,0,0.00000000023283064
79742.60s,32,444592,-2986,rot_12,8,15.999999,16,0,0.0000000004656613
80188.42s,32,444592,-2986,rot_15,6,15.999999,16,0,0.0000000004656613
80693.74s,32,444592,-2986,rot_16,4,16,16,0,0
81328.33s,32,444592,-2986,rot_15,7,15.999999,16,0,0.0000000004656613
81901.48s,32,444592,-2986,rot_16,5,15.999999,16,0,0.00000000023283064
82459.44s,32,444592,-2986,rot_15,8,15.999999,16,0,0.0000000004656613
83094.33s,32,444592,-2986,rot_16,6,15.999999,16,0,0.0000000004656613
84193.64s,32,444592,-2986,rot_16,7,15.999999,16,0,0.0000000004656613
85299.79s,32,444592,-2986,rot_16,8,15.999999,16,0,0.0000000004656613
