function,gamma,x0,delay,pools,round,test,score,passed
rot3,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,1,Runs,0.0,False
rot3,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,1.1432537844511502e-92,False
rot3,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,1,Random Excursion Variant,0.17803564428207655,False
rot3,444592,-2986,572059897,400000,2,Monobit,2.727041137779758e-275,False
rot3,444592,-2986,572059897,400000,2,Frequency Within Block,3.6230689434919e-226,False
rot3,444592,-2986,572059897,400000,2,Runs,0.0,False
rot3,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,0.08825596911544488,True
rot3,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,2,Random Excursion Variant,0.7628801405471473,False
rot3,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,3,Frequency Within Block,1.0410497937957339e-278,False
rot3,444592,-2986,572059897,400000,3,Runs,0.0,False
rot3,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,0.399090225835879,True
rot3,444592,-2986,572059897,400000,3,Discrete Fourier Transform,6.317796190729603e-98,False
rot3,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,3,Random Excursion Variant,0.9606535385922269,True
rot3,444592,-2986,572059897,400000,4,Monobit,0.011150800643753424,True
rot3,444592,-2986,572059897,400000,4,Frequency Within Block,0.11411965807348684,True
rot3,444592,-2986,572059897,400000,4,Runs,1.6931161629934931e-49,False
rot3,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,0.5659331382827562,True
rot3,444592,-2986,572059897,400000,4,Discrete Fourier Transform,0.789658287757886,True
rot3,444592,-2986,572059897,400000,4,Cumulative Sums,0.011481008304486173,False
rot3,444592,-2986,572059897,400000,4,Random Excursion Variant,0.7578979800588942,False
rot3,444592,-2986,572059897,400000,5,Monobit,0.9456263686130973,True
rot3,444592,-2986,572059897,400000,5,Frequency Within Block,0.8931190080229857,True
rot3,444592,-2986,572059897,400000,5,Runs,0.8729785493332824,True
rot3,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.5665094677144586,True
rot3,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.27454005799581327,True
rot3,444592,-2986,572059897,400000,5,Cumulative Sums,0.9605514975355163,True
rot3,444592,-2986,572059897,400000,5,Random Excursion Variant,0.5404632556459794,True
rot3,444592,-2986,572059897,400000,6,Monobit,0.5066185091688867,True
rot3,444592,-2986,572059897,400000,6,Frequency Within Block,0.12772474154704164,True
rot3,444592,-2986,572059897,400000,6,Runs,0.8485747269481262,True
rot3,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,0.0616842103091419,True
rot3,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.615154541669328,True
rot3,444592,-2986,572059897,400000,6,Cumulative Sums,0.4848890413309985,True
rot3,444592,-2986,572059897,400000,6,Random Excursion Variant,0.41219013405367305,True
rot3,444592,-2986,572059897,400000,7,Monobit,0.9830520955297825,True
rot3,444592,-2986,572059897,400000,7,Frequency Within Block,0.11752406076096901,True
rot3,444592,-2986,572059897,400000,7,Runs,0.5930506396617112,True
rot3,444592,-2986,572059897,400000,7,Longest Run Ones In A Block,0.29754977720125036,True
rot3,444592,-2986,572059897,400000,7,Discrete Fourier Transform,0.029242343381436286,True
rot3,444592,-2986,572059897,400000,7,Cumulative Sums,0.8521075728528804,True
rot3,444592,-2986,572059897,400000,7,Random Excursion Variant,0.9186883996283193,True
rot4,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot4,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot4,444592,-2986,572059897,400000,0,Runs,0.0,False
rot4,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,1.7512657391474888e-07,False
rot4,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot4,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot4,444592,-2986,572059897,400000,0,Random Excursion Variant,0.48458193327242177,False
rot4,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot4,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot4,444592,-2986,572059897,400000,1,Runs,0.0,False
rot4,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,0.26601916011027094,True
rot4,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot4,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot4,444592,-2986,572059897,400000,1,Random Excursion Variant,0.6219164639867066,False
rot4,444592,-2986,572059897,400000,2,Monobit,9.432868414943872e-38,False
rot4,444592,-2986,572059897,400000,2,Frequency Within Block,7.616712218308072e-17,False
rot4,444592,-2986,572059897,400000,2,Runs,0.0,False
rot4,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,1.519868525848304e-48,False
rot4,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot4,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot4,444592,-2986,572059897,400000,2,Random Excursion Variant,0.32751467903755543,True
rot4,444592,-2986,572059897,400000,3,Monobit,0.058083444971486306,True
rot4,444592,-2986,572059897,400000,3,Frequency Within Block,0.2710932133912941,True
rot4,444592,-2986,572059897,400000,3,Runs,1.0096388136367843e-13,False
rot4,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,0.02771314657139357,True
rot4,444592,-2986,572059897,400000,3,Discrete Fourier Transform,0.6479870718522576,True
rot4,444592,-2986,572059897,400000,3,Cumulative Sums,0.07169253158563416,True
rot4,444592,-2986,572059897,400000,3,Random Excursion Variant,0.9034406611704946,True
rot4,444592,-2986,572059897,400000,4,Monobit,0.04086627937840304,True
rot4,444592,-2986,572059897,400000,4,Frequency Within Block,0.5575642534280445,True
rot4,444592,-2986,572059897,400000,4,Runs,0.7980059489433311,True
rot4,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,0.06978086544931014,True
rot4,444592,-2986,572059897,400000,4,Discrete Fourier Transform,0.3097634230900901,True
rot4,444592,-2986,572059897,400000,4,Cumulative Sums,0.049607190953807945,True
rot4,444592,-2986,572059897,400000,4,Random Excursion Variant,0.47437505114653544,True
rot4,444592,-2986,572059897,400000,5,Monobit,0.17116387940311212,True
rot4,444592,-2986,572059897,400000,5,Frequency Within Block,0.9365351309370985,True
rot4,444592,-2986,572059897,400000,5,Runs,0.6062140634466234,True
rot4,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.8363946040755409,True
rot4,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.8214229061229906,True
rot4,444592,-2986,572059897,400000,5,Cumulative Sums,0.22161628845336545,True
rot4,444592,-2986,572059897,400000,5,Random Excursion Variant,0.3965963558333476,False
rot4,444592,-2986,572059897,400000,6,Monobit,0.8676949726400444,True
rot4,444592,-2986,572059897,400000,6,Frequency Within Block,0.1571896054614561,True
rot4,444592,-2986,572059897,400000,6,Runs,0.5482398406682091,True
rot4,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,0.6173610823231588,True
rot4,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.615154541669328,True
rot4,444592,-2986,572059897,400000,6,Cumulative Sums,0.8980627520535689,True
rot4,444592,-2986,572059897,400000,6,Random Excursion Variant,0.16427695056539035,True
rot4,444592,-2986,572059897,400000,7,Monobit,0.10167189798960125,True
rot4,444592,-2986,572059897,400000,7,Frequency Within Block,0.2403350780242288,True
